cas,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,AromaticRings,pEC50
51218496,311.85300000000007,3.8098000000000027,29.540000000000003,0.0,2.0,9.0,1.0,1.0,4.931810910331485
2764729,184.242,0.9422,7.760000000000001,0.0,0.0,0.0,3.0,2.0,4.775939529236122
131522,288.32,1.0311999999999997,23.06,0.0,1.0,0.0,1.0,1.0,4.980575982682384
1912249,215.68800000000002,1.7770999999999997,62.730000000000004,2.0,5.0,4.0,1.0,1.0,6.438894145270627
330552,249.09699999999998,3.0185000000000013,41.57000000000001,1.0,2.0,2.0,1.0,1.0,6.830045162363247
137268,240.44400000000002,2.0608,6.48,0.0,4.0,0.0,0.0,0.0,4.640651254737778
98119347,735.448,7.7118000000000055,122.32,1.0,7.0,8.0,5.0,3.0,5.69142796210256
122145,277.238,2.7993200000000016,70.83,0.0,6.0,5.0,1.0,1.0,4.435656605576831
13410010,188.936,-8.9884,80.25999999999999,0.0,4.0,0.0,0.0,0.0,5.2823079288785495
7440508,63.546,-0.0025,0.0,0.0,0.0,0.0,0.0,0.0,5.062725528926843
7784181,83.97600000000001,0.8798,0.0,0.0,0.0,0.0,0.0,0.0,4.132646669557346
94757,221.03899999999996,2.4567999999999994,46.53,1.0,2.0,3.0,1.0,1.0,3.344468907126224
127208,164.95100000000002,-3.065899999999999,40.129999999999995,0.0,2.0,1.0,0.0,0.0,3.217354952758995
75605,137.998,0.11099999999999993,37.3,1.0,1.0,0.0,0.0,0.0,3.1398727922327003
144218,183.934,-8.285800000000002,63.19,0.0,3.0,0.0,0.0,0.0,3.2646620155217096
1918021,241.461,2.3222,76.21,2.0,3.0,1.0,1.0,1.0,3.8828469949112803
122429,179.21900000000002,2.6435000000000013,38.33,1.0,2.0,2.0,1.0,1.0,4.753384049733149
61825,84.08200000000001,-0.6131000000000002,67.59,2.0,3.0,0.0,1.0,1.0,3.4247030334035524
534521,198.134,1.5170200000000003,106.51000000000002,1.0,5.0,2.0,1.0,1.0,3.296959007317349
132661,291.306,3.790300000000002,66.4,2.0,2.0,3.0,3.0,3.0,3.9643494298389816
650511,185.369,-2.8895,40.129999999999995,0.0,2.0,0.0,0.0,0.0,3.2680371070758856
122349,201.661,1.3885999999999998,62.730000000000004,2.0,5.0,4.0,1.0,1.0,6.2479734382399315
1861401,335.28200000000004,4.148200000000004,89.52,0.0,5.0,7.0,1.0,1.0,5.025410238455629
314409,261.11899999999997,1.57852,54.85999999999999,1.0,2.0,2.0,1.0,1.0,5.4168384738717394
150685,198.653,2.4335000000000004,32.34,1.0,1.0,1.0,1.0,1.0,6.798095128030233
2303175,304.66999999999996,4.843900000000003,20.310000000000002,0.0,2.0,4.0,0.0,0.0,4.983829692568941
15972608,269.77199999999993,2.9871000000000016,29.54,0.0,2.0,6.0,1.0,1.0,5.3700193145876725
21087649,214.294,0.3715000000000003,73.8,1.0,5.0,1.0,1.0,1.0,6.839648317602467
51218452,283.799,3.1641200000000014,29.54,0.0,2.0,6.0,1.0,1.0,5.10446781907399
2212671,187.30799999999994,2.735500000000001,20.310000000000002,0.0,2.0,1.0,1.0,0.0,3.940660366292578
1071836,169.073,-1.2042000000000002,106.86000000000001,4.0,3.0,4.0,0.0,0.0,4.1162118188176064
330541,233.098,3.0869000000000018,32.34,1.0,1.0,1.0,1.0,1.0,7.532378224316789
95501,147.004,2.9934000000000003,0.0,0.0,0.0,0.0,1.0,1.0,3.741942903750326
110918,87.122,-0.3938000000000001,21.259999999999998,1.0,2.0,0.0,1.0,0.0,3.2993038401315236
139139,191.13899999999998,-1.4577999999999995,115.14,3.0,4.0,6.0,0.0,0.0,4.106606808455124
115866,326.288,5.331500000000003,44.760000000000005,0.0,4.0,6.0,3.0,3.0,5.3266593060196135
7778509,294.181,-8.9186,123.63,0.0,7.0,2.0,0.0,0.0,5.938432541554835
71283288,327.1629999999999,4.637600000000002,55.760000000000005,1.0,3.0,5.0,2.0,2.0,4.4987425900446505
95617097,333.727,4.125400000000002,81.79,1.0,5.0,5.0,3.0,3.0,5.344759669039957
99129212,359.91900000000004,4.844400000000005,58.89,1.0,5.0,9.0,1.0,0.0,3.968441067923459
111991094,410.4120000000002,0.10099999999999953,152.70999999999998,2.0,9.0,6.0,2.0,2.0,4.9766218393932755
83055996,410.4080000000002,0.9318999999999997,145.80999999999997,2.0,9.0,7.0,2.0,2.0,4.358878051037581
90982324,414.82700000000017,1.8257,136.57999999999998,2.0,8.0,6.0,2.0,2.0,4.333743216547527
98967409,325.3,1.51172,89.25,1.0,5.0,3.0,3.0,3.0,4.483521730527544
1582098,335.28200000000004,4.148200000000004,89.52,0.0,5.0,7.0,1.0,1.0,4.88723058905102
40487421,281.312,3.720340000000003,98.31,1.0,5.0,6.0,1.0,1.0,6.0007911549165565
23184669,311.85300000000007,4.1574000000000035,29.54,0.0,2.0,9.0,1.0,1.0,4.558634154995119
34256821,269.77199999999993,3.1232200000000017,29.54,0.0,2.0,6.0,1.0,1.0,3.9945653303955915
21725462,240.698,1.6708799999999997,86.52000000000001,2.0,6.0,4.0,1.0,1.0,6.2718939347600395
7287196,241.364,2.2340999999999998,62.730000000000004,2.0,6.0,5.0,1.0,1.0,6.640152671880443
34123596,206.28899999999996,2.903500000000001,32.34,1.0,1.0,2.0,1.0,1.0,6.6773047388682905
15545489,212.67999999999998,2.7419200000000004,32.34,1.0,1.0,1.0,1.0,1.0,6.924606130466323
4685147,186.258,1.0025999999999997,7.760000000000001,0.0,0.0,1.0,2.0,2.0,6.020533952331242
1689845,276.915,2.788880000000001,44.019999999999996,1.0,2.0,0.0,1.0,1.0,3.4923440147816343
84087014,242.06099999999995,3.2398000000000007,50.19,1.0,2.0,1.0,2.0,2.0,3.9125274856976064
42874033,361.70300000000003,5.458000000000003,61.599999999999994,0.0,4.0,5.0,2.0,2.0,5.385515750734687
51276472,181.12800000000001,-0.3113999999999998,100.62,3.0,3.0,4.0,0.0,0.0,4.24868143446961
25059807,271.725,2.2795000000000005,48.3,0.0,4.0,3.0,2.0,2.0,4.028752497871751
39807153,341.19400000000013,3.4418000000000024,57.260000000000005,0.0,4.0,3.0,2.0,2.0,3.7416153404003825
69377817,255.03199999999998,1.5731,85.44,2.0,4.0,3.0,1.0,1.0,3.6193874587591486
87818313,274.404,4.2478200000000035,18.46,0.0,2.0,4.0,3.0,1.0,4.987910383205863
125401925,452.35500000000025,-1.7468999999999981,147.07000000000002,0.0,12.0,9.0,3.0,3.0,4.926606393682027
64249010,367.86000000000007,4.331900000000004,38.77,0.0,5.0,7.0,1.0,1.0,4.599479802079218
136849155,421.4350000000003,1.5648999999999997,148.60999999999999,3.0,8.0,8.0,3.0,2.0,6.153292193355159
106040486,381.3700000000001,0.4215199999999999,151.67999999999998,2.0,8.0,5.0,2.0,2.0,4.013250454796022
111353845,396.38500000000016,0.5205999999999995,172.49999999999997,4.0,9.0,7.0,2.0,2.0,3.7702706062377116
83066880,327.258,3.744600000000002,68.65,1.0,4.0,5.0,2.0,2.0,4.178360496220414
94051088,344.7540000000001,3.9274000000000022,81.54,1.0,5.0,5.0,3.0,3.0,4.681503453941839
93697746,414.4000000000002,-0.08559999999999968,163.63,2.0,10.0,7.0,2.0,2.0,4.342587878285366
95977290,361.703,4.3980000000000015,68.65,1.0,4.0,5.0,2.0,2.0,4.518565332605212
298464,236.27399999999997,3.3872000000000018,46.33,1.0,1.0,0.0,3.0,2.0,3.7845081763068946
10124364,208.475,-1.3404999999999996,80.25999999999999,0.0,4.0,0.0,0.0,0.0,6.795880017344075
7718549,129.599,1.3765,0.0,0.0,0.0,0.0,0.0,0.0,5.661698154811433
25812300,250.33799999999994,3.573240000000002,46.53,1.0,2.0,6.0,1.0,1.0,3.455922043841607
84742,278.348,3.6004000000000027,52.6,0.0,4.0,8.0,1.0,1.0,4.71361650202806
68359375,434.29400000000004,6.317080000000003,59.320000000000014,0.0,4.0,6.0,3.0,2.0,5.7563207137506565
13593038,298.30400000000003,3.3061000000000016,53.46999999999999,0.0,6.0,6.0,2.0,2.0,4.7465389281068555
60515,229.26299999999998,0.9829,47.559999999999995,1.0,5.0,5.0,0.0,0.0,4.536964689768063
2058460,496.90000000000015,-0.9783999999999988,201.85000000000002,7.0,10.0,2.0,4.0,1.0,4.995232924927897
7646857,136.296,1.3765,0.0,0.0,0.0,0.0,0.0,0.0,5.580223418462724
1563662,221.25599999999994,2.1182999999999996,47.56,1.0,3.0,1.0,2.0,1.0,4.881131533887131
63252,201.225,2.5580000000000007,38.33,1.0,2.0,1.0,2.0,2.0,5.4531376198367765
114261,209.24499999999998,2.192,47.56,1.0,3.0,3.0,1.0,1.0,5.492076549507735
112410238,352.4780000000001,4.451540000000004,49.410000000000004,1.0,2.0,3.0,2.0,2.0,6.433188663270884
709988,218.083,3.3419000000000016,29.1,1.0,1.0,2.0,1.0,1.0,4.561920628798245
1910425,257.164,-4.989399999999997,7.760000000000001,0.0,0.0,1.0,2.0,2.0,6.410041503585958
